source_category_id,target_category_id,relation,evidence
category:52b69d58ca7f96f8,category:e6c8a801356aa473,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:e4761a6b53252c81,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3a6384189dddd9af,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3dc38717debb58d8,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:1c40e266ce64744c,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:4854c1f606e69762,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:73f12401e4ca5fa4,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:6ce35cae5beebbbb,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:fed448c9654829cf,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:af98b2942298a109,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:a7edc4b57835246b,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:89ede178a7c82816,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c2f9492ee0186589,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:cced915010a7c2b5,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:46c737fef66a26fc,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:9b781a9a1bfcd5e0,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:84dd8a7f9eae0a19,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:b939226442dfa216,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:0a7bb9e167179e59,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:6ca85004c25663fc,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:d3c6a487cf06468b,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:7ff1bec2925c9c86,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:74dbb5d2b9a3544e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:63816d823735488d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:b6a0cf00a2333fc5,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:29e5fac1bfecf16a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:b07ba6b7e622920d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2f5119b0ce450bdb,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c8cf2588f7312c69,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:8fc01a4b9b27d2da,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:308511bb0633822d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:4120cf0af0efb754,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:45a4ea43f3604106,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2f99de5eeaa08caf,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:6b4593e2c2147cd7,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:7e3cf0d3e06fd36f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:dca06048f5e4d521,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3479ad16a858e1b0,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:29026c362e120d32,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:bf3c889910ed8146,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c494b55445cabd02,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:0c976819321c5c82,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:0f23bb8500b43b3d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:85c872696efa21be,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:ce7d31441e6f9e47,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c331eb2cdb42904f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:72ff55c2686e33c7,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:86c2173798278a21,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:d7d569464aa0e57e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:6a5c8cdb02998906,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:802633b0ce862039,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:7d0144646bee1f6d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:296af2e068220c22,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:51df456251c4986a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:a52d2bbd64d8cba2,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:8af8fa7edb568f6a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:a0d9fc95aa507977,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:17ff82b2b8c2a189,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:05d5443c091a1822,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:1be0d2d3116b5929,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2c19efd85b0bf4d3,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c83be7fdd0bccc9c,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:5a427b6511646d4a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2e465e9d9ec1c14e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:ce73194e6766579e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:a843e7d16659b36f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:bec2846b32bd8487,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:9732bfdef43bea16,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:3b758fa957e3e91f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:e02a9f9a66c6eade,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:4ebd25ce6a78b8e3,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2f4cf2139637e8db,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:b36dbaff7ed69aca,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:81699ec04f53458b,RELATED_LINK,data\raw\zara\discovery\1066.json
