product_id,category_id,category_url
zara-us:07768109,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02072987,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:08046581,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07937320,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02678201,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772207,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02778332,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07840332,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07341768,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07857533,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07248351,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772393,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:03067231,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:09040821,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04192070,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:00085813,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772206,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07841399,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02231066,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:01223724,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772235,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07914827,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07962105,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:09077630,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:08741244,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04764301,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07196399,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07834181,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:00387164,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04786252,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02142143,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:06929280,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:01528282,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772201,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07521160,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:00021005,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:01758202,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:01758157,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:01223201,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:00085814,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:00392701,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:03666123,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07831481,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02298705,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:03500007,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:09874011,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:05029244,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07521142,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:01223708,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:06895240,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:00858004,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02240100,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07512533,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:09598080,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772227,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:03152225,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772385,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07807154,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07760111,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07956576,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07904115,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07863212,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04786270,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:01067703,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:08372250,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07844193,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07484165,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07957576,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02587157,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07827777,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04764202,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:05919242,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04772373,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02284021,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02157225,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:04786297,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:05029206,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02072304,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07512748,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:05039822,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:07933537,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:02266015,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
zara-us:05039463,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html
